,,,,,,,,,,,,,,,,,,,,,,Overhead tricep pull down 4/8/27.5,X,,,,,,,,,,,,,,,,,,,,,,,,
,,,Feb 9,Pull ups 3/7/0,7,7,3+4 negatives,,0,,,Feb 10,Smith Machine Bench Press 3/9/45,Warm up 10/20,8/45,6/45,6/45,,Test 3/7/45,,Feb 11,Perfect Squats 3/8/20,8,8,8/25,7/25,20,Keep back straight (3/8/25 or 30),,,,,,,,,,,,,,,,,,,
,,,1514,N-grip Pull ups 3/5/0,5,5,5,,0,The addition of NGPs feels good. Maybe 3/6 + 3/5?,,1535,Smith Machine Incline Bench 3/9/35,Warm up 10/0,8/35,7/35,6/35,,Go with 3/7/35? Maybe lower weight to 40 and 30 for both bench presses.,,1525,Seated Leg press Machine 3/8/40,8,8,7/60,,,Increase weight to 60,,,,,,,,,,,,,,,,,,,
,,,1654,T-bar rows 4/10/20,10,10,10,10,20,,,1651,Pec Dec flies 3/9/30,9/30,9/30,11/30,,,Maybe 10/30 or 10/35 next time,,,Hip Abductions 4/12/72.5,12,12,12,12 failing at 7-8 (continued with partial reps),,3 sets with increased intensity,,,,,,,,,,,,,,,,,,,
,,,,Lat pull downs 3/12/25 ea,15/25ea,13/30ea,8/30ea,9-to failure/25ea,,,,,Military press 3/8/25,8/25,7/25,7/25,,,,,,Hip Adductions 4/12/80,14,12,,,,Same as above,,,,,,,,,,,,,,,,,,,
,,,,Seated row machine 3/12/20,12,12,12,,20,,,,Dumbell Chest Press 3/10/14ea,9.5/14ea,7/14ea,10/12ea,,,Lower weight and focus on form,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hammer Curls,6ea/12,12ea/10,7ea/10,,,,,,Tricep Rope Pull down 2/12/27.5,10/27.5,8/27.5,8/22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barbell Curls,8/20,6/20,,,,,,,Overhead Tricep Rope Pull down 2/10/27.5,20/22.5,15/27.5,8/32 + 4/27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Feb 13,Pull ups 3/7/0,7,7,4,,0,Uncertain of the effect of morning workout,,Feb 14,Smith Machine Bench Press 3/9/45,8/40,5/50,8/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73.03,N-grip Pull ups 3/6/0,6,6,5,,0,,,,Smith Machine Incline Bench 3/9/35,8/30,7/35,7/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,845,Chest Supported Seated Row machine 3/12/20,14,14,12,,20,,,,Pec Dec flies 3/9/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,955,Lat pull downs 3/12/25 ea,12,14,14,,25ea,,,,Military press 3/8/25,8/25,8/25,6/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seated cable rows 3/10/40,11,,,,,,,,Dumbell Chest Press 3/10/14ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
